
delta_t = 0.500000
	forward error		backward error
 0	 1.473082		 2.297443
 1	 0.541917		 0.845182
 2	 0.199360		 0.310925
 3	 0.073340		 0.114383
 4	 0.026980		 0.042079
 5	 0.009926		 0.015480
 6	 0.003651		 0.005695
 7	 0.001343		 0.002095
 8	 0.000494		 0.000771
 9	 0.000182		 0.000284
10	 0.000067		 0.000104
11	 0.000025		 0.000038
12	 0.000009		 0.000014
13	 0.000003		 0.000005
14	 0.000001		 0.000002
15	 0.000000		 0.000001
16	 0.000000		 0.000000
17	 0.000000		 0.000000
18	 0.000000		 0.000000
19	 0.000000		 0.000000
20	 0.000000		 0.000000

delta_t = 1.000000
	forward error		backward error
 0	 4.436564		      inf
 1	 1.632121		      inf
 2	 0.600424		      inf
 3	 0.220883		      inf
 4	 0.081258		      inf
 5	 0.029893		      inf
 6	 0.010997		      inf
 7	 0.004046		      inf
 8	 0.001488		      inf
 9	 0.000548		      inf
10	 0.000201		      inf
11	 0.000074		      inf
12	 0.000027		      inf
13	 0.000010		      inf
14	 0.000004		      inf
15	 0.000001		      inf
16	 0.000000		      inf
17	 0.000000		      inf
18	 0.000000		      inf
19	 0.000000		      inf
20	 0.000000		      inf

delta_t = 2.000000
	forward error		backward error
 0	21.167168		-8.389056
 1	 7.786966		-3.086161
 2	 2.864665		-1.135335
 3	 1.053851		-0.417667
 4	 0.387690		-0.153651
 5	 0.142623		-0.056525
 6	 0.052468		-0.020794
 7	 0.019302		-0.007650
 8	 0.007101		-0.002814
 9	 0.002612		-0.001035
10	 0.000961		-0.000381
11	 0.000354		-0.000140
12	 0.000130		-0.000052
13	 0.000048		-0.000019
14	 0.000018		-0.000007
15	 0.000006		-0.000003
16	 0.000002		-0.000001
17	 0.000001		-0.000000
18	 0.000000		-0.000000
19	 0.000000		-0.000000
20	 0.000000		-0.000000


=========END OF STDOUT===============

Conclusion
When t is larger (>16), then the forward Euler gives very accurate approximation. This is because the function exp(-t) approahces zero as t->inf. When t is in the range of 0, making approximaiton using nearby sampling point can result in large error. In addition, the backward Euler gives inf exception when delta_t = 1.
