forwardEulerRC      deltaT = 1.000000 ns
Time           V1             V2             
0.0            0.00000        0.00000        
1.0            0.00000        0.00000        
2.0            0.10000        0.00000        
3.0            0.18000        0.01000        
4.0            0.24500        0.02600        
5.0            0.29860        0.04530        
6.0            0.34341        0.06610        
7.0            0.38134        0.08722        
8.0            0.41379        0.10791        
9.0            0.44183        0.12771        
10.0           0.46623        0.14635        
11.0           0.48762        0.16370        
12.0           0.40647        0.17972        
13.0           0.34315        0.18443        
14.0           0.29296        0.18185        
15.0           0.25255        0.17478        
16.0           0.21952        0.16508        
17.0           0.19212        0.15402        
18.0           0.16910        0.14242        
19.0           0.14952        0.13085        
20.0           0.13270        0.11963        
21.0           0.11813        0.10898        
22.0           0.20540        0.09899        
23.0           0.27422        0.09973        
24.0           0.32935        0.10721        
25.0           0.37420        0.11870        
26.0           0.41123        0.13238        
27.0           0.44222        0.14703        
28.0           0.46848        0.16184        
29.0           0.49097        0.17632        
30.0           0.51041        0.19016        
31.0           0.52734        0.20317        
32.0           0.45219        0.21527        
33.0           0.38328        0.21743        
34.0           0.32837        0.21227        
35.0           0.28392        0.20266        
36.0           0.24740        0.19052        
37.0           0.21697        0.17715        
38.0           0.19129        0.16342        
39.0           0.16938        0.14987        
40.0           0.15049        0.13683        
41.0           0.13407        0.12451        
42.0           0.21971        0.11302        
43.0           0.28707        0.11239        
44.0           0.34089        0.11862        
45.0           0.38458        0.12898        
46.0           0.42056        0.14164        
47.0           0.45061        0.15537        
48.0           0.47603        0.16936        
49.0           0.49776        0.18309        
50.0           0.51651        0.19625        
51.0           0.53284        0.20865        
52.0           0.44713        0.22020        
53.0           0.37973        0.22088        
54.0           0.32587        0.21467        
55.0           0.28216        0.20433        
56.0           0.24616        0.19168        
57.0           0.21610        0.17796        
58.0           0.19067        0.16398        
59.0           0.16894        0.15025        
60.0           0.15017        0.13709        
61.0           0.13385        0.12469        
62.0           0.21955        0.11314        
63.0           0.28695        0.11247        
64.0           0.34081        0.11867        
65.0           0.38451        0.12901        
66.0           0.42051        0.14166        
67.0           0.45058        0.15538        
68.0           0.47600        0.16936        
69.0           0.49774        0.18309        
70.0           0.51650        0.19625        
71.0           0.53282        0.20865        
72.0           0.44712        0.22020        
73.0           0.37972        0.22087        
74.0           0.32586        0.21467        
75.0           0.28216        0.20432        
76.0           0.24616        0.19167        
77.0           0.21609        0.17795        
78.0           0.19067        0.16397        
79.0           0.16893        0.15024        
80.0           0.15017        0.13709        
81.0           0.13385        0.12469        
82.0           0.20955        0.11314        
83.0           0.27895        0.11146        
84.0           0.33431        0.11707        
85.0           0.37915        0.12708        
86.0           0.41603        0.13958        
87.0           0.44678        0.15327        
88.0           0.47275        0.16729        
89.0           0.49493        0.18111        
